"","SchoolYear","NCESDistrictID","StudentID","AdministrationDate","TermAssessmentSubject","ScaleScore","PercentileRank","GradeEquivalent","StudentGrowthPercentile","BenchmarkLevel","WindowName"
"551","2023-2024","108807108","108075497","2024-01-24 18:10:59.434","Math","583","30","3.9","69","2","MOY"
"552","2023-2024","108807017","108064929","2024-01-24 20:46:58.528","Math","663","14","5.0","58","3","MOY"
"553","2023-2024","108807017","108074746","2024-01-24 16:20:08.440","Math","793","53","7.8","44","1","MOY"
"554","2023-2024","108807108","108075544","2024-01-22 17:59:03.060","Math","493","8","2.9","28","4","MOY"
"555","2023-2024","108807015","108056920","2024-01-09 15:53:51.310","Math","571","5","3.7","9","4","MOY"
"556","2023-2024","108807108","108075492","2024-01-18 17:58:58.933","Math","542","17","3.4","73","3","MOY"
"557","2023-2024","108807015","108056984","2024-01-09 15:57:02.506","Math","575","5","3.8","8","4","MOY"
"558","2023-2024","108807087","108240516","2024-02-05 14:58:18.126","Math","295","1","1.0","","4","MOY"
"559","2023-2024","108807108","108075502","2024-01-18 18:05:32.181","Math","740","90","6.3","47","1","MOY"
"560","2023-2024","108807087","108257791","2024-01-25 17:26:26.222","Math","433","1","2.3","","4","MOY"
"561","2023-2024","108807017","108061808","2024-01-24 19:32:29.515","Math","648","11","4.7","2","3","MOY"
"562","2023-2024","108807087","108229870","2024-01-25 17:48:54.601","Math","700","30","5.5","","2","MOY"
"563","2023-2024","108807087","108229870","2024-01-25 17:03:37.444","Math","687","26","5.3","","2","MOY"
"564","2023-2024","108807015","108157946","2024-01-09 19:10:46.232","Math","622","10","4.4","3","3","MOY"
"565","2023-2024","108807108","108075519","2024-01-18 17:45:12.708","Math","775","95","> 7","68","1","MOY"
"566","2023-2024","108807015","108056960","2024-01-10 17:48:22.719","Math","761","53","6.8","75","1","MOY"
"567","2023-2024","108807108","108075577","2024-01-24 18:45:16.910","Math","669","67","5.0","71","1","MOY"
"568","2023-2024","108807087","108110839","2024-01-25 20:36:13.787","Math","412","1","2.1","","4","MOY"
"569","2023-2024","108807017","108114872","2024-01-24 18:06:47.240","Math","797","54","7.9","45","1","MOY"
"570","2023-2024","108807108","108075584","2024-01-17 19:16:37.127","Math","604","38","4.1","11","2","MOY"
"571","2023-2024","108807108","108075584","2024-01-18 18:05:31.974","Math","624","47","4.4","","1","MOY"
"572","2023-2024","108807017","108163048","2024-01-24 16:26:46.594","Math","875","82","> 10","85","1","MOY"
"573","2023-2024","108807015","108076620","2024-01-10 20:38:54.533","Math","872","91","> 9","38","1","MOY"
"574","2023-2024","108807108","108076939","2024-01-17 18:15:50.891","Math","672","69","5.1","97","1","MOY"
"575","2023-2024","108807017","108064997","2024-01-24 15:58:42.516","Math","613","7","4.3","25","4","MOY"
"576","2023-2024","108807015","108244124","2024-01-18 15:55:01.492","Math","680","24","5.2","83","3","MOY"
"577","2023-2024","108807087","108229906","2024-01-23 21:09:17.574","Math","539","3","3.4","53","4","MOY"
"578","2023-2024","108807087","108235768","2024-01-23 15:06:05.614","Math","612","9","4.2","7","4","MOY"
"579","2023-2024","108807006","108234169","2024-01-18 17:57:43.621","Math","739","44","6.3","68","1","MOY"
"580","2023-2024","108807087","108239130","2024-01-23 17:28:51.265","Math","338","1","1.4","15","4","MOY"
"581","2023-2024","108807015","108064497","2024-01-09 19:22:57.701","Math","750","48","6.5","68","1","MOY"
"582","2023-2024","108807015","108074839","2024-01-10 20:15:36.910","Math","343","1","1.4","32","4","MOY"
"583","2023-2024","108807015","108063311","2024-01-09 19:11:41.699","Math","796","67","7.8","33","1","MOY"
"584","2023-2024","108807015","108201358","2024-01-10 17:52:52.577","Math","618","10","4.3","","3","MOY"
"585","2023-2024","108807087","108090158","2024-01-25 19:08:05.915","Math","573","5","3.8","","4","MOY"
"586","2023-2024","108807015","108056947","2024-01-09 15:58:39.969","Math","781","61","7.3","8","1","MOY"
"587","2023-2024","108807015","108249230","2024-01-09 19:30:11.369","Math","703","31","5.6","66","2","MOY"
"588","2023-2024","108807108","108075604","2024-01-19 18:25:14.373","Math","646","57","4.7","40","1","MOY"
"589","2023-2024","108807017","108102020","2024-01-24 16:30:00.555","Math","745","36","6.4","14","2","MOY"
"590","2023-2024","108807015","108074838","2024-01-09 19:22:38.922","Math","769","57","7.0","83","1","MOY"
"591","2023-2024","108807015","108056336","2024-01-09 19:20:47.560","Math","825","79","> 9","58","1","MOY"
"592","2023-2024","108807087","108229867","2024-01-23 20:44:52.943","Math","483","1","2.8","26","4","MOY"
"593","2023-2024","108807108","108121637","2024-01-17 17:47:58.803","Math","638","53","4.6","14","1","MOY"
"594","2023-2024","108807087","108178298","2024-01-25 21:04:35.616","Math","610","9","4.2","4","4","MOY"
"595","2023-2024","108807015","108056161","2024-01-10 20:25:04.684","Math","501","2","3.0","3","4","MOY"
"596","2023-2024","108807087","108119526","2024-01-17 17:26:08.615","Math","679","23","5.2","32","3","MOY"
"597","2023-2024","108807017","108256107","2024-01-24 20:43:40.093","Math","556","3","3.6","","4","MOY"
"598","2023-2024","108807015","108105983","2024-01-19 15:14:31.944","Math","650","15","4.7","","3","MOY"
"599","2023-2024","108807015","108056100","2024-01-10 14:25:05.182","Math","751","49","6.5","99","1","MOY"
"600","2023-2024","108807017","108064940","2024-01-24 18:21:51.746","Math","827","67","9.6","19","1","MOY"
"601","2023-2024","108807017","108072586","2024-01-24 16:06:46.058","Math","704","24","5.6","7","3","MOY"
"602","2023-2024","108807087","108178269","2024-01-23 14:39:44.494","Math","540","3","3.4","1","4","MOY"
"603","2023-2024","108807017","108230078","2024-01-24 21:26:33.897","Math","793","52","7.7","82","1","MOY"
"604","2023-2024","108807015","108056943","2024-01-09 15:57:10.990","Math","642","14","4.6","12","3","MOY"
"605","2023-2024","108807017","108111861","2024-01-24 19:44:41.268","Math","716","27","5.8","27","2","MOY"
"606","2023-2024","108807087","108104658","2024-01-23 14:59:52.958","Math","704","32","5.6","46","2","MOY"
"607","2023-2024","108807017","108064971","2024-01-24 18:17:04.468","Math","863","79","> 10","58","1","MOY"
"608","2023-2024","108807017","108110324","2024-01-24 16:18:37.857","Math","620","8","4.3","53","4","MOY"
"609","2023-2024","108807015","108056911","2024-01-09 19:15:47.530","Math","806","72","8.4","32","1","MOY"
"610","2023-2024","108807017","108076656","2024-01-24 20:03:36.225","Math","754","39","6.6","23","2","MOY"
"611","2023-2024","108807015","108056919","2024-01-10 17:52:59.640","Math","722","38","5.9","13","2","MOY"
"612","2023-2024","108807015","108063310","2024-01-10 17:48:41.741","Math","796","67","7.8","66","1","MOY"
"613","2023-2024","108807017","108147127","2024-01-24 19:42:35.399","Math","692","20","5.4","1","3","MOY"
"614","2023-2024","108807108","108240354","2024-01-17 19:36:35.373","Math","602","37","4.1","49","2","MOY"
"615","2023-2024","108807108","108240354","2024-01-18 18:07:43.214","Math","641","55","4.6","","1","MOY"
"616","2023-2024","108807002","108071652","2024-01-09 18:53:38.245","Math","934","94","> 10","86","1","MOY"
"617","2023-2024","108807087","108109036","2024-01-26 14:10:04.411","Math","532","3","3.3","1","4","MOY"
"618","2023-2024","108807087","108109036","2024-01-26 15:05:54.802","Math","560","4","3.6","","4","MOY"
"619","2023-2024","108807108","108075551","2024-01-18 18:26:15.376","Math","718","85","5.8","69","1","MOY"
"620","2023-2024","108807108","108159005","2024-01-17 18:19:51.175","Math","714","84","5.8","80","1","MOY"
"621","2023-2024","108807087","108199888","2024-01-25 20:34:05.566","Math","608","8","4.2","1","4","MOY"
"622","2023-2024","108807015","108238252","2024-01-22 19:09:02.277","Math","379","1","1.8","2","4","MOY"
"623","2023-2024","108807087","108178179","2024-01-23 21:46:22.061","Math","686","26","5.3","19","2","MOY"
"624","2023-2024","108807017","108112546","2024-01-24 20:59:47.995","Math","624","8","4.4","14","4","MOY"
"625","2023-2024","108807017","108064962","2024-01-24 18:04:54.374","Math","1053","99","> 10","98","1","MOY"
"626","2023-2024","108807015","108200819","2024-01-11 19:19:30.465","Math","668","20","5.0","","3","MOY"
"627","2023-2024","108807087","108186708","2024-01-23 14:56:57.849","Math","820","77","> 9","24","1","MOY"
"628","2023-2024","108807087","108090166","2024-01-23 21:10:03.622","Math","601","8","4.1","77","4","MOY"
"629","2023-2024","108807087","108112804","2024-01-23 19:38:27.811","Math","682","24","5.2","39","3","MOY"
"630","2023-2024","108807087","108102761","2024-01-23 19:53:30.969","Math","692","28","5.4","","2","MOY"
"631","2023-2024","108807017","108064979","2024-01-24 19:46:30.257","Math","657","13","4.9","65","3","MOY"
"632","2023-2024","108807015","108106879","2024-01-10 15:20:47.310","Math","543","3","3.4","","4","MOY"
"633","2023-2024","108807015","108234166","2024-01-16 19:27:58.109","Math","388","1","1.9","24","4","MOY"
"634","2023-2024","108807087","108178219","2024-01-23 17:51:20.586","Math","769","57","7.0","45","1","MOY"
"635","2023-2024","108807087","108090132","2024-01-25 19:29:30.438","Math","696","29","5.5","","2","MOY"
"636","2023-2024","108807015","108057877","2024-01-10 20:13:59.051","Math","514","2","3.1","5","4","MOY"
"637","2023-2024","108807087","108102793","2024-01-23 17:05:49.118","Math","465","1","2.6","1","4","MOY"
"638","2023-2024","108807015","108086826","2024-01-09 19:26:38.117","Math","686","26","5.3","58","2","MOY"
"639","2023-2024","108807015","108234164","2024-01-09 19:09:59.879","Math","684","25","5.3","14","2","MOY"
"640","2023-2024","108807087","108124521","2024-01-23 15:09:00.029","Math","755","50","6.6","57","1","MOY"
"641","2023-2024","108807017","108077873","2024-01-24 16:45:07.537","Math","786","50","7.5","16","1","MOY"
"642","2023-2024","108807017","108199914","2024-01-24 16:02:42.324","Math","629","9","4.5","67","4","MOY"
"643","2023-2024","108807015","108234162","2024-01-09 19:29:26.705","Math","790","65","7.7","25","1","MOY"
"644","2023-2024","108807087","108161870","2024-01-25 21:43:57.732","Math","784","63","7.4","75","1","MOY"
"645","2023-2024","108807108","108075557","2024-01-17 18:01:14.801","Math","561","22","3.6","19","3","MOY"
"646","2023-2024","108807087","108229885","2024-01-23 19:37:54.621","Math","765","54","6.9","6","1","MOY"
"647","2023-2024","108807087","108234587","2024-01-26 14:52:54.126","Math","569","5","3.7","","4","MOY"
"648","2023-2024","108807087","108241693","2024-01-25 17:41:30.628","Math","493","1","2.9","","4","MOY"
"649","2023-2024","108807108","108087927","2024-01-17 18:42:09.341","Math","533","15","3.3","2","3","MOY"
"650","2023-2024","108807017","108112830","2024-01-24 19:59:07.318","Math","673","16","5.1","9","3","MOY"
"651","2023-2024","108807017","108076662","2024-01-24 16:28:23.035","Math","840","71","> 10","4","1","MOY"
"652","2023-2024","108807087","108229869","2024-01-23 19:33:33.298","Math","488","1","2.8","","4","MOY"
"653","2023-2024","108807015","108056889","2024-01-10 14:33:16.758","Math","664","19","5.0","69","3","MOY"
"654","2023-2024","108807108","108075573","2024-01-17 18:07:06.060","Math","577","28","3.8","42","2","MOY"
"655","2023-2024","108807108","108075350","2024-01-17 18:38:48.326","Math","704","81","5.6","64","1","MOY"
"656","2023-2024","108807087","108240516","2024-01-26 14:33:21.705","Math","340","1","1.4","","4","MOY"
"657","2023-2024","108807108","108075345","2024-01-18 18:09:21.502","Math","648","59","4.7","87","1","MOY"
"658","2023-2024","108807087","108229907","2024-01-23 18:00:51.476","Math","702","31","5.6","10","2","MOY"
"659","2023-2024","108807015","108056990","2024-01-09 19:15:10.756","Math","759","52","6.7","31","1","MOY"
"660","2023-2024","108807108","108086660","2024-01-19 18:15:45.751","Math","606","39","4.2","15","2","MOY"
"661","2023-2024","108807017","108185637","2024-01-24 16:01:50.773","Math","662","14","4.9","76","3","MOY"
"662","2023-2024","108807017","108082277","2024-01-24 21:30:52.838","Math","743","35","6.4","68","2","MOY"
"663","2023-2024","108807015","108056895","2024-01-10 15:19:58.075","Math","836","82","> 9","91","1","MOY"
"664","2023-2024","108807087","108229889","2024-01-23 18:07:44.253","Math","749","48","6.5","19","1","MOY"
"665","2023-2024","108807015","108076622","2024-01-10 14:15:54.365","Math","854","86","> 9","62","1","MOY"
"666","2023-2024","108807015","108056996","2024-01-10 17:45:58.657","Math","558","4","3.6","9","4","MOY"
"667","2023-2024","108807087","108102156","2024-01-25 14:02:48.120","Math","502","2","3.0","1","4","MOY"
"668","2023-2024","108807087","108199995","2024-01-23 14:41:18.059","Math","539","3","3.4","42","4","MOY"
"669","2023-2024","108807015","108056974","2024-01-11 16:04:48.824","Math","632","12","4.5","8","3","MOY"
"670","2023-2024","108807015","108085701","2024-01-11 19:46:44.113","Math","785","63","7.5","12","1","MOY"
"671","2023-2024","108807015","108056907","2024-01-10 20:31:03.427","Math","759","52","6.7","80","1","MOY"
"672","2023-2024","108807015","108075078","2024-01-10 17:46:58.281","Math","755","50","6.6","57","1","MOY"
"673","2023-2024","108807017","108064970","2024-01-24 15:53:59.484","Math","609","7","4.2","5","4","MOY"
"674","2023-2024","108807015","108056913","2024-01-17 21:17:48.873","Math","945","98","> 9","99","1","MOY"
"675","2023-2024","108807015","108234165","2024-01-23 15:06:42.488","Math","422","1","2.2","4","4","MOY"
"676","2023-2024","108807108","108075541","2024-01-18 17:39:44.040","Math","624","46","4.4","35","1","MOY"
"677","2023-2024","108807015","108056912","2024-01-09 15:55:37.916","Math","683","25","5.3","54","2","MOY"
"678","2023-2024","108807015","108244797","2024-01-19 18:06:06.255","Math","679","23","5.2","","3","MOY"
"679","2023-2024","108807017","108064954","2024-01-24 16:31:11.947","Math","822","64","9.2","36","1","MOY"
"680","2023-2024","108807015","108056953","2024-01-09 15:50:33.130","Math","831","80","> 9","40","1","MOY"
"681","2023-2024","108807015","108203047","2024-01-10 18:00:36.129","Math","741","45","6.3","6","1","MOY"
"682","2023-2024","108807015","108137522","2024-01-10 18:01:06.137","Math","703","31","5.6","17","2","MOY"
"683","2023-2024","108807015","108056964","2024-01-09 16:02:40.221","Math","639","13","4.6","2","3","MOY"
"684","2023-2024","108807108","108075531","2024-01-19 18:28:52.384","Math","804","98","> 7","74","1","MOY"
"685","2023-2024","108807017","108230057","2024-01-24 20:13:05.036","Math","643","10","4.6","10","3","MOY"
"686","2023-2024","108807015","108156985","2024-01-10 20:20:32.104","Math","441","1","2.4","2","4","MOY"
"687","2023-2024","108807087","108115039","2024-01-23 20:43:10.992","Math","837","82","> 9","74","1","MOY"
"688","2023-2024","108807015","108057045","2024-01-10 14:19:38.326","Math","799","68","8.0","26","1","MOY"
"689","2023-2024","108807015","108202185","2024-01-19 14:54:25.098","Math","323","1","1.3","46","4","MOY"
"690","2023-2024","108807087","108229886","2024-01-25 20:45:15.683","Math","550","4","3.5","","4","MOY"
"691","2023-2024","108807015","108064844","2024-01-09 15:54:39.236","Math","505","2","3.0","2","4","MOY"
"692","2023-2024","108807108","108060558","2024-01-19 18:33:58.072","Math","763","94","6.8","53","1","MOY"
"693","2023-2024","108807015","108085110","2024-01-10 19:39:54.687","Math","532","3","3.3","1","4","MOY"
"694","2023-2024","108807015","108086268","2024-01-10 20:39:55.817","Math","417","1","2.1","1","4","MOY"
"695","2023-2024","108807087","108178315","2024-01-23 21:11:44.478","Math","623","10","4.4","","3","MOY"
"696","2023-2024","108807015","108064868","2024-01-10 14:26:35.566","Math","723","38","5.9","38","2","MOY"
"697","2023-2024","108807108","108186981","2024-01-18 18:03:08.675","Math","540","16","3.4","37","3","MOY"
"698","2023-2024","108807017","108064983","2024-01-24 16:02:13.981","Math","566","4","3.7","26","4","MOY"
"699","2023-2024","108807087","108135595","2024-01-25 20:32:51.640","Math","598","7","4.1","17","4","MOY"
"700","2023-2024","108807017","108085679","2024-01-24 20:54:44.089","Math","807","58","8.4","7","1","MOY"
"701","2023-2024","108807087","108234760","2024-01-23 15:59:00.534","Math","649","15","4.7","","3","MOY"
"702","2023-2024","108807017","108121355","2024-01-24 18:29:04.099","Math","773","45","7.1","21","1","MOY"
"703","2023-2024","108807087","108242407","2024-01-23 21:11:12.319","Math","628","11","4.5","42","3","MOY"
"704","2023-2024","108807017","108058831","2024-01-24 18:43:31.697","Math","691","20","5.4","30","3","MOY"
"705","2023-2024","108807087","108203590","2024-01-25 21:05:58.639","Math","626","11","4.4","","3","MOY"
"706","2023-2024","108807087","108090135","2024-01-25 20:29:21.427","Math","605","8","4.2","4","4","MOY"
"707","2023-2024","108807087","108229899","2024-01-23 15:11:14.880","Math","655","17","4.8","48","3","MOY"
"708","2023-2024","108807108","108075556","2024-01-22 18:14:05.610","Math","459","5","2.5","71","4","MOY"
"709","2023-2024","108807087","108221667","2024-01-23 20:23:34.491","Math","664","19","5.0","79","3","MOY"
"710","2023-2024","108807015","108060250","2024-01-19 15:08:05.426","Math","788","64","7.5","64","1","MOY"
"711","2023-2024","108807015","108060234","2024-01-10 15:14:46.627","Math","805","71","8.3","79","1","MOY"
"712","2023-2024","108807015","108056954","2024-01-10 14:27:26.970","Math","642","14","4.6","22","3","MOY"
"713","2023-2024","108807015","108056955","2024-01-09 16:00:50.114","Math","683","25","5.3","96","2","MOY"
"714","2023-2024","108807087","108135572","2024-01-26 15:18:37.887","Math","490","1","2.9","1","4","MOY"
"715","2023-2024","108807087","108199916","2024-01-23 17:27:24.965","Math","534","3","3.3","","4","MOY"
"716","2023-2024","108807015","108056898","2024-01-10 14:24:10.050","Math","560","4","3.6","9","4","MOY"
"717","2023-2024","108807087","108135601","2024-01-23 15:17:01.503","Math","837","82","> 9","31","1","MOY"
"718","2023-2024","108807087","108120960","2024-01-23 15:01:35.336","Math","741","45","6.3","21","1","MOY"
"719","2023-2024","108807087","108178275","2024-01-23 17:15:34.396","Math","564","5","3.7","46","4","MOY"
"720","2023-2024","108807087","108229892","2024-01-23 15:05:33.548","Math","795","67","7.8","60","1","MOY"
"721","2023-2024","108807087","108229884","2024-01-23 21:23:50.875","Math","537","3","3.4","","4","MOY"
"722","2023-2024","108807087","108142439","2024-01-25 17:09:56.125","Math","705","32","5.6","","2","MOY"
"723","2023-2024","108807087","108090140","2024-01-23 17:40:51.109","Math","568","5","3.7","","4","MOY"
"724","2023-2024","108807015","108056948","2024-01-09 15:50:07.550","Math","672","21","5.1","15","3","MOY"
"725","2023-2024","108807017","108064945","2024-01-24 21:16:53.631","Math","674","16","5.1","44","3","MOY"
"726","2023-2024","108807108","108075504","2024-01-17 18:40:12.548","Math","734","89","6.2","53","1","MOY"
"727","2023-2024","108807087","108226377","2024-01-23 21:03:43.097","Math","655","17","4.8","","3","MOY"
"728","2023-2024","108807017","108057073","2024-01-24 16:09:07.892","Math","748","37","6.5","97","2","MOY"
"729","2023-2024","108807108","108237607","2024-01-17 18:39:50.049","Math","604","38","4.1","32","2","MOY"
"730","2023-2024","108807087","108100127","2024-01-23 15:10:59.633","Math","717","36","5.8","","2","MOY"
"731","2023-2024","108807108","108075545","2024-01-18 19:49:44.027","Math","483","7","2.8","71","4","MOY"
"732","2023-2024","108807015","108234158","2024-01-09 19:26:25.170","Math","709","33","5.7","8","2","MOY"
"733","2023-2024","108807015","108085698","2024-01-09 17:31:34.112","Math","729","40","6.1","29","1","MOY"
"734","2023-2024","108807017","108185650","2024-01-24 18:15:16.595","Math","781","48","7.3","15","1","MOY"
"735","2023-2024","108807017","108113851","2024-01-24 18:24:39.773","Math","858","77","> 10","16","1","MOY"
"736","2023-2024","108807017","108185648","2024-01-24 20:55:31.929","Math","743","35","6.4","45","2","MOY"
"737","2023-2024","108807015","108060238","2024-01-22 15:59:04.917","Math","726","39","6.0","50","2","MOY"
"738","2023-2024","108807015","108056985","2024-01-09 16:01:21.034","Math","598","7","4.1","16","4","MOY"
"739","2023-2024","108807015","108056957","2024-01-10 20:38:52.036","Math","577","5","3.8","20","4","MOY"
"740","2023-2024","108807087","108090154","2024-01-23 14:42:08.364","Math","720","37","5.9","37","2","MOY"
"741","2023-2024","108807015","108056892","2024-01-09 19:20:51.083","Math","780","61","7.3","95","1","MOY"
"742","2023-2024","108807015","108183471","2024-01-09 17:28:32.472","Math","815","75","8.8","59","1","MOY"
"743","2023-2024","108807087","108135602","2024-01-23 21:23:52.474","Math","800","69","8.0","55","1","MOY"
"744","2023-2024","108807087","108106263","2024-01-23 15:17:22.490","Math","723","39","6.0","6","2","MOY"
"745","2023-2024","108807108","108101082","2024-01-18 17:56:45.135","Math","439","4","2.3","7","4","MOY"
"746","2023-2024","108807015","108234167","2024-01-09 19:18:52.902","Math","718","37","5.9","23","2","MOY"
"747","2023-2024","108807108","108075533","2024-01-17 18:40:38.826","Math","719","85","5.9","83","1","MOY"
"748","2023-2024","108807108","108122576","2024-01-18 17:55:34.460","Math","626","48","4.4","94","1","MOY"
"749","2023-2024","108807017","108073269","2024-01-24 15:54:27.886","Math","550","3","3.5","4","4","MOY"
"750","2023-2024","108807087","108158931","2024-01-17 20:15:38.936","Math","588","6","3.9","31","4","MOY"
"751","2023-2024","108807017","108064963","2024-01-24 21:27:37.846","Math","815","61","8.8","70","1","MOY"
"752","2023-2024","108807087","108229888","2024-01-23 17:37:15.274","Math","819","77","> 9","","1","MOY"
"753","2023-2024","108807017","108059742","2024-01-24 16:37:42.756","Math","874","82","> 10","72","1","MOY"
"754","2023-2024","108807097","108126659","2024-01-10 16:01:02.216","Math","640","14","4.6","27","3","MOY"
"755","2023-2024","108807017","108230054","2024-01-24 20:04:56.830","Math","770","44","7.0","67","1","MOY"
"756","2023-2024","108807017","108059740","2024-01-24 20:43:22.998","Math","395","1","1.9","7","4","MOY"
"757","2023-2024","108807087","108178323","2024-01-23 17:03:41.627","Math","501","2","3.0","3","4","MOY"
"758","2023-2024","108807017","108185500","2024-01-24 19:30:39.593","Math","708","24","5.7","36","3","MOY"
"759","2023-2024","108807087","108135570","2024-01-26 14:47:53.222","Math","854","86","> 9","97","1","MOY"
"760","2023-2024","108807017","108074925","2024-01-24 19:39:27.799","Math","789","51","7.6","16","1","MOY"
"761","2023-2024","108807015","108056929","2024-01-16 19:25:14.771","Math","803","70","8.2","73","1","MOY"
"762","2023-2024","108807087","108178210","2024-01-25 16:59:48.904","Math","643","14","4.6","60","3","MOY"
"763","2023-2024","108807015","108243663","2024-01-10 19:49:45.863","Math","526","2","3.2","58","4","MOY"
"764","2023-2024","108807108","108060990","2024-01-17 18:41:08.701","Math","744","91","6.4","35","1","MOY"
"765","2023-2024","108807017","108185644","2024-01-24 19:46:24.800","Math","363","1","1.6","21","4","MOY"
"766","2023-2024","108807017","108048867","2024-01-24 21:00:31.206","Math","472","1","2.7","5","4","MOY"
"767","2023-2024","108807108","108075558","2024-01-18 18:00:57.666","Math","468","6","2.6","80","4","MOY"
"768","2023-2024","108807108","108075579","2024-01-17 17:54:29.709","Math","718","85","5.9","81","1","MOY"
"769","2023-2024","108807015","108056938","2024-01-09 17:20:38.312","Math","695","29","5.5","43","2","MOY"
"770","2023-2024","108807087","108229893","2024-01-23 15:16:50.588","Math","790","65","7.7","19","1","MOY"
"771","2023-2024","108807087","108147581","2024-01-23 14:28:38.922","Math","356","1","1.6","17","4","MOY"
"772","2023-2024","108807015","108203010","2024-01-09 15:51:36.036","Math","721","37","5.9","43","2","MOY"
"773","2023-2024","108807017","108106267","2024-01-24 21:05:07.030","Math","581","5","3.9","9","4","MOY"
"774","2023-2024","108807017","108064942","2024-01-24 16:25:56.984","Math","762","41","6.8","8","1","MOY"
"775","2023-2024","108807017","108185651","2024-01-24 16:22:18.768","Math","546","3","3.4","33","4","MOY"
"776","2023-2024","108807017","108113930","2024-01-24 19:41:01.049","Math","808","59","8.4","16","1","MOY"
"777","2023-2024","108807108","108197518","2024-01-18 17:49:15.759","Math","388","2","1.9","14","4","MOY"
"778","2023-2024","108807017","108064941","2024-01-24 19:49:48.258","Math","748","37","6.5","4","2","MOY"
"779","2023-2024","108807108","108075507","2024-01-17 18:38:08.656","Math","406","2","2.0","23","4","MOY"
"780","2023-2024","108807017","108138171","2024-01-24 21:01:15.352","Math","747","36","6.4","40","2","MOY"
"781","2023-2024","108807017","108073802","2024-01-24 18:32:15.567","Math","728","30","6.1","31","2","MOY"
"782","2023-2024","108807017","108147123","2024-01-24 16:15:56.338","Math","827","67","9.6","26","1","MOY"
"783","2023-2024","108807017","108230058","2024-01-24 18:31:35.637","Math","788","51","7.6","35","1","MOY"
"784","2023-2024","108807015","108060511","2024-01-09 20:13:55.330","Math","575","5","3.8","2","4","MOY"
"785","2023-2024","108807017","108185649","2024-01-24 18:42:02.193","Math","834","69","10.0","47","1","MOY"
"786","2023-2024","108807087","108091439","2024-01-25 20:52:39.590","Math","790","65","7.7","","1","MOY"
"787","2023-2024","108807015","108183467","2024-01-10 15:14:01.579","Math","797","68","7.9","31","1","MOY"
"788","2023-2024","108807015","108234160","2024-01-11 15:36:26.098","Math","367","1","1.7","3","4","MOY"
"789","2023-2024","108807017","108113989","2024-01-24 16:30:16.707","Math","676","17","5.1","58","3","MOY"
"790","2023-2024","108807087","108178343","2024-01-23 21:19:58.049","Math","524","2","3.2","58","4","MOY"
"791","2023-2024","108807015","108056902","2024-01-09 15:46:26.743","Math","844","84","> 9","95","1","MOY"
"792","2023-2024","108807017","108064943","2024-01-24 15:49:51.513","Math","548","3","3.5","4","4","MOY"
"793","2023-2024","108807015","108056461","2024-01-10 20:09:08.888","Math","634","12","4.5","","3","MOY"
"794","2023-2024","108807015","108060062","2024-01-10 20:36:05.936","Math","543","3","3.4","1","4","MOY"
"795","2023-2024","108807108","108230785","2024-01-18 18:33:14.909","Math","594","34","4.0","66","2","MOY"
"796","2023-2024","108807017","108064927","2024-01-24 19:31:34.298","Math","767","43","6.9","17","1","MOY"
"797","2023-2024","108807017","108055100","2024-01-24 20:11:18.824","Math","840","71","> 10","14","1","MOY"
"798","2023-2024","108807087","108235015","2024-01-23 19:21:54.229","Math","676","23","5.1","26","3","MOY"
"799","2023-2024","108807017","108205131","2024-01-24 21:12:01.100","Math","657","13","4.9","24","3","MOY"
"800","2023-2024","108807015","108183489","2024-01-09 17:26:52.533","Math","654","17","4.8","12","3","MOY"
"801","2023-2024","108807108","108075568","2024-01-17 18:27:38.453","Math","628","49","4.5","40","1","MOY"
"802","2023-2024","108807015","108056899","2024-01-09 19:22:31.088","Math","700","31","5.5","36","2","MOY"
"803","2023-2024","108807087","108109337","2024-01-23 17:32:29.066","Math","566","5","3.7","6","4","MOY"
"804","2023-2024","108807015","108056940","2024-01-11 15:51:43.881","Math","569","5","3.7","14","4","MOY"
"805","2023-2024","108807017","108052201","2024-01-24 16:09:46.384","Math","566","4","3.7","48","4","MOY"
"806","2023-2024","108807017","108187991","2024-01-24 16:07:28.223","Math","681","18","5.2","41","3","MOY"
"807","2023-2024","108807017","108071432","2024-01-24 18:40:13.274","Math","798","55","8.0","5","1","MOY"
"808","2023-2024","108807015","108060248","2024-01-10 17:50:55.936","Math","741","45","6.3","33","1","MOY"
"809","2023-2024","108807087","108166967","2024-01-23 14:47:50.348","Math","607","8","4.2","31","4","MOY"
"810","2023-2024","108807108","108075526","2024-01-17 18:06:10.349","Math","660","63","4.9","12","1","MOY"
"811","2023-2024","108807087","108100497","2024-01-23 19:34:38.450","Math","726","40","6.0","74","1","MOY"
"812","2023-2024","108807013","108045724","2024-01-22 16:02:02.334","Math","490","1","2.9","6","4","MOY"
"813","2023-2024","108807017","108110413","2024-01-24 16:14:53.638","Math","790","51","7.6","4","1","MOY"
"814","2023-2024","108807017","108141818","2024-01-24 20:55:50.629","Math","921","93","> 10","45","1","MOY"
"815","2023-2024","108807017","108099480","2024-01-24 18:38:35.257","Math","882","84","> 10","67","1","MOY"
"816","2023-2024","108807087","108250028","2024-01-26 15:31:54.214","Math","638","13","4.6","","3","MOY"
"817","2023-2024","108807015","108199002","2024-01-17 20:47:17.299","Math","421","1","2.2","5","4","MOY"
"818","2023-2024","108807017","108061701","2024-01-24 18:10:12.709","Math","733","31","6.1","65","2","MOY"
